,APELLIDOS Y NOMBRE,BANCADA,REGIÓN,SEDE,Nº CASO,ACTUALIZACIÓN,SITUACIÓN,DELITO
1073,"AYASTA DE DÍAZ, RITA ELENA",Fuerza Popular,Lambayeque,08º Fiscalia Provincial Penal De Chiclayo,"02406070108-2003-
0002750000","May 22, 2003",FORMALIZACION,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
1074,"PUÑO LECARNAQUE, NAPOLEÓN",APP,Tumbes,2º Fiscalia Provincial Mixta De Tumbes,"03506090602-2002-
0003820000","Feb 24, 2003",ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD
1075,"PUÑO LECARNAQUE, NAPOLEÓN",APP,Tumbes,Fiscalia Superior Mixta De Tumbes,"03506090602-1999-
0002900000","Dec 4, 2002",CON DICTAMEN,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOBYRESISTAORDENOFICIAL)
1076,"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,1° Fiscalia Provincial Mixta De Carabayllo-Modulo Basico De Justicia,"00606020604-2002-
0007190000","Oct 22, 2002",CON RUBRICA,HOMICIDIO (CULPOSO)
1077,"CABRERA VEGA, MARÍA TERESA",Podemos,Lima,01º Fiscalia Provincial Penal De Santa Anita,"03406010101-2002-
0003680000","May 14, 2002",DERIVADO JUZGADO PENAL,ABUSO DE AUTORIDAD
1078,"CABRERA VEGA, MARÍA TERESA",Podemos,Lima,01°Fiscalia Prov. De Familia De Santa Anita,"03406010701-2001-
0005160000","Jan 9, 2002",ARCHIVO DEFINITIVO,MALTRATO FISICO
1079,"PANTOJA CALVO, RUBEN",UPP,Cusco,03º Fiscalia Provincial Penal De Cusco,"01806110103-2001-
0003030000","Dec 6, 2001",CON RESOLUCION EMITIDA,COACCION
1080,"CHAIÑA CONTRERAS, HIPÓLITO",UPP,Arequipa,02º Fiscalia Provincial Penal De Arequipa,"01506010101-1999-
0004860000","Sep 20, 2001",ARCHIVO DEFINITIVO,EXPOSICION A PERSONA EN PELIGRO (EXPOSICION O ABANDONO PELIG)
1081,"PUÑO LECARNAQUE, NAPOLEÓN",APP,Tumbes,Fiscalia Superior Mixta De Tumbes,"03506090602-2000-
0003640000","Sep 20, 2001",CON DICTAMEN,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
1082,"PUÑO LECARNAQUE, NAPOLEÓN",APP,Tumbes,Fiscalia Superior Mixta De Tumbes,"03506090601-1999-
0003660000","Aug 21, 2001",CON DICTAMEN,VIOLACION A LA LIBERTAD AL TRABAJO (IMPEDIMENTOAINTEGRARSINDICATO)
1083,"PUÑO LECARNAQUE, NAPOLEÓN",APP,Tumbes,Fiscalia Superior Mixta De Tumbes,"03506090602-2000-
0003640001","Dec 29, 2000",CON DICTAMEN,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
1084,"CAMPOS VILLALOBOS, ROLANDO",Acción Popular,Lambayeque,01º Fiscalia Provincial Penal De Chiclayo,"02406070102-2000-
0007080000","Dec 15, 2000",DERIVADO,ESTAFA
1085,"PUÑO LECARNAQUE, NAPOLEÓN",APP,Tumbes,1º Fiscalia Provincial Mixta De Tumbes,"03506090601-2000-
0003560000","Dec 12, 2000",SENTENCIADO,"CONTAMINACION Y PROPAGACION (DOLOSA DE AGUA,ALIMENTYMEDIC)"
1086,"PUÑO LECARNAQUE, NAPOLEÓN",APP,Tumbes,Fiscalia Superior Mixta De Tumbes,"03505090601-2000-
0000510000","May 25, 2000",CON DICTAMEN,PECULADO (APROPOUTILIZACDECAUDALES)
1087,"PICHILINGUE GOMEZ, MARCOS ANTONIO",Fuerza Popular,Callao,11º Fiscalia Provincial En Lo Penal De Lima,"00506010146-1999-
0002700000","May 5, 2000",CON DICTAMEN,APROPIACION ILICITA
1088,"PUÑO LECARNAQUE, NAPOLEÓN",APP,Tumbes,2º Fiscalia Provincial Mixta De Tumbes,"03506090602-1999-
0003400000","Dec 12, 1999",ARCHIVO DEFINITIVO,VIOLACION A LA LIBERTAD AL TRABAJO (IMPEDIMENTOAINTEGRARSINDICATO)
1089,"PUÑO LECARNAQUE, NAPOLEÓN",APP,Tumbes,Fiscalia Superior Mixta De Tumbes,"03506090602-1999-
0002900001","Nov 5, 1999",CON DICTAMEN,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOBYRESISTAORDENOFICIAL)
1090,"PUÑO LECARNAQUE, NAPOLEÓN",APP,Tumbes,2º Fiscalia Provincial Mixta De Tumbes,"03506090602-1999-
0003340000","Oct 6, 1999",ARCHIVO DEFINITIVO,VIOLACION A LA LIBERTAD AL TRABAJO (IMPEDIMENTOAINTEGRARSINDICATO)
1091,"GUPIOC RIOS, ROBINSON DOCITEO",Podemos,Lima,02º Fiscalia Provincial En Lo Penal De Lima-Norte,"00606010102-1999-
0001060000","Sep 14, 1999",CON DICTAMEN,LESIONES (LEVES)
